"Function","Inferred responsibility","Evidence","Confidence"
"FUN_0040e68a","Prepare or validate a file operation caption/path context.","Called before `""File Open""` and other file workflows; exact UI side effect not fully mapped.","Low"
"FUN_0040e77d","Refreshes wait-cursor state on the main work panes by posting WM_SETCURSOR to each subclassed child window.","Body posts message 0x20 to DAT_00452ac0, DAT_00452ab0, DAT_00452ab4, and DAT_00452a2c. Those handles are the function-list ListView, equation RichEdit, truth-table output ListView, and diagram-output window; their subclass procedures use busy flags to force IDC_WAIT during long operations.","High"
"FUN_0040e7da","Detects whether a modified equation changed input-variable order in a way that should trigger the EQNMODVAR variable-order warning.","Called after modifying a function; caller opens EQNMODVAR when this function returns 0. Returns 1 when input counts differ, new equation text contains INORDER, names are already in same order, or names are not just a permutation; returns 0 when both functions contain the same input names in a different order.","High"
"FUN_0040e905","Initializes the function-list controller object's basic state before the ListView is created.","Called from static initializer with &DAT_00452ad0. Body sets controller offsets +0x50 to 0, +0x54 to 0, and +0x58 to 1, matching initial item count/selection/default state later used by the function-list controller.","High"
"FUN_0040e929","Initialize paths, temp/work files, file dialogs, and verify bundled tools.","Uses `GetModuleFileNameA`, `SHGetSpecialFolderPathA`, `CreateDirectoryA`, sets `lf.ini`, `minin.dat`, `minout.dat`, `checkin.dat`, `checkout.dat`, `user.genlib`, checks `espresso.exe`, `misii.exe`, and `script.txt` with `SearchPathA`.","High"
"FUN_0040eb81","Add/register a function item in the list/controller.","Called after open/import/create; argument points to per-function slot data.","Medium"
"FUN_0040f186","Get current selected function from a list/controller.","Many command handlers call it and branch on zero, one, or multiple selected functions.","High"
"FUN_0040f234","Get two selected functions.","Used for two-function operations; returns count and output pointers.","Medium"
"FUN_0040f300","Select/focus a function by index in the list/controller.","Called before save/close and after creating/opening functions.","Medium"
"FUN_0040f38f","Updates an existing row in the main function-list ListView for a given function model, including counts/status columns and selection/scroll state.","Searches ListView items for row whose stored lParam/function pointer equals param_1, sends LVM_SETITEM-style messages for columns Function, Inputs, Outputs, False, Gates, writes Unminimized when model is not minimized, Not mapped when no diagram exists, otherwise counts mapped gates from diagram-object array, clears prior selected states, selects updated row, ensures visibility, and scrolls it into view.","High"
"FUN_0040fa6b","Remove a function from the list/controller.","Used during close/delete flows before freeing the backing function.","Medium"
"FUN_0040fb46","Function-list notification handler that guards selection changes: if selection is cleared it restores the last selected function, and if exactly one real function is selected it signals the main window to confirm/update active function selection.","Called from main WM_NOTIFY when hwnd is DAT_00452ac0, the main function-list ListView. It checks LVM_GETSELECTEDCOUNT, calls FUN_0040f300 when selection count is 0 and list has real items, and writes -2 to out parameter when selected count is 1. Caller treats -2 specially, prompts with Function Selection, then sends command 0x801d.","High"
"FUN_0040fbca","Return function count.","Used after closing functions to decide if any remain.","Medium"
"FUN_0040fbd9","Reports whether the function-list controller has moved past its initial placeholder state and contains real selectable functions.","Returns *(param_1 + 0x58) == 0. FUN_0040e905 initializes +0x58 to 1; FUN_0040eb81 removes placeholder on first real function insert and sets +0x58 to 0. Caller uses this after FUN_0040fb46 reports one-selection event.","High"
"FUN_0040fbf0","Constructor/initializer for the file/environment helper object used for Logic Friday paths, temporary files, and external-tool workflows.","Static initializer calls FUN_0040fbf0(&DAT_00452f40) and registers cleanup. Body initializes version string v. 1.0 and empty path/name buffers, then clears counters/flags. Same global is later passed to open/save/export helpers and startup path/tool validation.","High"
"FUN_0040fc88","Destructor/cleanup for the file/environment helper object; releases the cached resource pointer stored at offset +0x268 when present.","Registered by static initializer path after constructing DAT_00452f40. Body only checks *(param_1 + 0x268) and calls DeleteObject on it if non-null.","Medium"
"FUN_0040fcac","Startup initialization for Logic Friday file/environment helper: establishes application/user temp directories, prepares paths for lf.ini/minin.dat/minout.dat/checkin.dat/checkout.dat/user.genlib, initializes OPENFILENAME state, and verifies bundled Espresso/MISII files exist.","Called during main-window creation. Uses GetModuleFileNameA and FUN_00415864 to derive install path, SHGetSpecialFolderPathA/CreateDirectoryA for app data Logic Friday directory or fallback temp directory, formats paths for lf.ini, minout.dat, minin.dat, checkout.dat, checkin.dat, and user.genlib, initializes OPENFILENAME-like fields, then SearchPathA-checks espresso.exe, misii.exe, and misii\lib\script.txt; shows fatal file error on failure.","High"
"FUN_004102f4","Show Open dialog for Logic function files.","Filter string `""Logic function (*.lfcn)""`, uses `GetOpenFileNameA`, stores selected open directory.","High"
"FUN_004103b5","Show Save dialog for Logic function files.","Filter string `""Logic function (*.lfcn)""`, uses `GetSaveFileNameA`, stores selected save directory.","High"
"FUN_00410476","Show Save dialog for C source export.","Filter string `""C Source File (*.c)""`, uses `GetSaveFileNameA`.","High"
"FUN_00410538","Show Save dialog for enhanced metafile export.","Filter string `""Enhanced Metafile (*.emf)""`, uses `GetSaveFileNameA`.","High"
"FUN_004105fb","Show Open dialog for arbitrary files.","Filter string `""All Files (*.*)""`, uses `GetOpenFileNameA`.","High"
"FUN_004106be","Show Save dialog for CSV truth-table export.","Filter string `""Comma Separated Variables (*.csv)""`, uses `GetSaveFileNameA`.","High"
"FUN_00410780","Export gate diagram image to `.emf` or `.bmp`.","For `.emf`, calls `CopyEnhMetaFileA`; otherwise renders the EMF to a 1-bit DIB and writes BMP headers/data via `_fwrite`.","High"
"FUN_00410a47","Export truth table to CSV/text.","Opens output as `wt`, writes input/output names and rows, emits `0`, `1`, and `X` values, supports both full truth table and reduced/lookup table representation.","High"
"FUN_004110a2","Import CSV/text truth table.","Opens input as `rt`, skips comments/blank lines, parses names and rows, validates input/output counts, allocates output arrays, fills truth table.","High"
"FUN_004116b2","Parse one truth-table data row into input and output token strings.","Splits on comma/tab, accepts only `0`, `1`, `X`/`x`, normalizes lowercase `x`.","High"
"FUN_00411871","Parse and validate CSV variable-name header row.","Splits input/output names, enforces length limits, validates characters through `FUN_0040daf0`, rejects duplicate input/output names.","High"
"FUN_00411caa","Apply one parsed truth-table row to the in-memory table, expanding input don't-cares.","Converts input bits to row index; if input contains `X`, enumerates all matching rows; delegates cell assignment to `FUN_00411dfc`.","High"
"FUN_00411dfc","Assign output values for one truth-table row and detect conflicts.","Writes `1`, `0`, or `2` (`X`) into output arrays; increments true/don't-care counts; returns conflict code `10` if row already has different value.","High"
"FUN_00411f69","Show import error dialogs.","Maps import error codes 1-10 to `""Import Error""` message boxes.","High"
"FUN_00412219","Save a Logic Friday `.lfcn` function file.","Opens output as `wb`, writes `""LTK1""`-style header/version data, fixed 0x2700-byte function state, truth-table arrays, text fields, mapping/gate data, optional EMF bits, then marks function clean.","High"
"FUN_00412923","Load a Logic Friday `.lfcn` function file.","Opens input as `rb`, verifies `""LTK1""`, checks stored version against `DAT_004519e4`, reads 0x2700-byte base state, allocates truth-table and mapping buffers, restores optional EMF via `SetEnhMetaFileBits`.","High"
"FUN_0041338b","Destructor/deallocator for a vector of 0xfc-byte objects.","Calls `_eh_vector_destructor_iterator_` and `_free` depending on flags.","Medium"
"FUN_004133f5","Generates a C lookup-table source file for the selected function, optionally including a test wrapper, then opens the generated file in Notepad.","Reached from Generate C Lookup Function after LOOKUPFCNDLG succeeds and save dialog chooses a lookup output file. Opens param_3 for text write, emits Logic Friday timestamp comment, writes prototypes/implementations named lu_%s, serializes output truth tables into const unsigned int arrays, supports unsigned int nTerm or individual input arguments, optionally calls FUN_00413c2e when debug tools are enabled, closes file, builds notepad command, and calls WinExec.","High"
"FUN_00413c2e","Emits the optional TestLUFcnZ C helper for generated lookup functions, converting a row index into input arguments when the generated lookup API uses individual variables, then delegating output dispatch generation.","Only called by FUN_004133f5 when DAT_00452ef4 is enabled. Writes int TestLUFcnZ(int iRow,int iOut). If option is 0x423 it uses iRow directly; otherwise declares each input variable, emits bit tests from iRow, builds comma-separated argument list from input names, and calls FUN_00413e13.","High"
"FUN_00413e13","Writes the switch body for TestLUFcnZ, dispatching iOut values to lu_F0 through lu_F15 and returning 0 by default.","Called from FUN_00413c2e with argument expression and output count. Body writes switch(iOut), always emits case 0 returning lu_F0(%s), conditionally emits cases 1..15 depending on output count, then writes closing default return 0 block.","High"
"FUN_00413fc6","Writes the current equation text to minin.dat as input for the MISII debug/minimization path.","In command path that validates typed equation text then starts FUN_0040c196 with misii re/wp command, this function is called first. Body deletes file at this +0x784, initialized as %s\minin.dat, opens it for text write, writes param_1, closes it, and returns 0 or packed file error 0x2f000b.","High"
"FUN_00414024","Parses MISII/Espresso PLA output from minout.dat back into a Logic Friday function model, including input/output counts, variable names, product count, and truth-table rows.","Called after external MISII run completes in minout.dat path. Opens this +0x888 (%s\minout.dat), expects PLA directives .i, .o, .ilb, .ob, .p, enforces 2..16 inputs and at most 16 outputs, copies names, allocates table data via FUN_00421c38, loads product rows with FUN_00421d2a, finalizes via FUN_00421eb4, and returns parse/file errors when needed.","High"
"FUN_00414543","Write prepared equation text to checkin.dat so MISII can convert it to PLA format.","Body opens path at this +0x98c, initialized as %s\checkin.dat. It writes param_1 to the file and returns 0x2b0001 on open failure. Caller command 0x8020 builds INORDER/OUTORDER plus selected equation text, calls this function, then runs misii read_eqn checkin.dat/write_pla.","High"
